rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
166,CDW,"$20,820.80 ",12.70%,$988.60 ,25.40%,"$13,199.40 ","$24,140.20 ",-5,"13,900"
167,ManpowerGroup,"$20,724.40 ",15.10%,$382.40 ,1506.70%,"$9,828.90 ","$5,025.60 ",-2,"30,000"
168,PG&E,"$20,642 ",11.80%,($102),-,"$103,327 ","$29,433.70 ",-8,"26,000"
169,Carrier Global,"$20,613 ",18.10%,"$1,664 ",-16%,"$26,172 ","$39,127.40 ",2,"58,000"
170,Baker Hughes,"$20,502 ",-1%,($219),-,"$35,308 ","$37,410.20 ",-30,"54,000"
171,Cleveland-Cliffs,"$20,444 ",281.80%,"$2,988 ",-,"$18,975 ","$16,891.20 ",330,"26,000"
172,United States Steel,"$20,275 ",108.10%,"$4,174 ",-,"$17,816 ","$9,832.30 ",138,"24,540"
173,Becton Dickinson,"$20,248 ",18.30%,"$2,092 ",139.40%,"$53,866 ","$75,749.10 ",4,"75,000"
174,CarMax,"$20,092.10 ",-6.20%,$746.90 ,-15.90%,"$21,541.50 ","$15,598.90 ",-38,"26,889"
175,Sherwin-Williams,"$19,944.60 ",8.60%,"$1,864.40 ",-8.20%,"$20,666.70 ","$65,037.90 ",-13,"61,626"
176,Builders FirstSource,"$19,893.90 ",132.40%,"$1,725.40 ",450.30%,"$10,714.30 ","$11,408.90 ",174,"28,000"
177,Marsh & McLennan,"$19,820 ",15.10%,"$3,143 ",55.90%,"$34,388 ","$85,681.30 ",-2,"83,000"
178,PNC Financial Services Group,"$19,698 ",-18.10%,"$5,674 ",-24.50%,"$557,191 ","$77,203.40 ",-58,"58,547"
179,Lumen Technologies,"$19,687 ",-4.90%,"$2,033 ",-,"$57,993 ","$11,533.40 ",-40,"36,000"
180,Avnet,"$19,534.70 ",10.80%,$193.10 ,-,"$8,925.40 ","$4,016.90 ",-12,"14,500"
181,Tenet Healthcare,"$19,485 ",10.50%,$914 ,129.10%,"$27,579 ","$9,387.60 ",-14,"88,968"
182,Kimberly-Clark,"$19,440 ",1.60%,"$1,814 ",-22.90%,"$17,837 ","$41,496.10 ",-24,"45,000"
