rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
679,Timken,"$4,132.90 ",17.60%,$369.10 ,29.70%,"$5,170.70 ","$4,539.60 ",-10,"18,029"
680,Domtar,"$4,132 ",-11.10%,($27),-,"$4,854 ",-,-127,"6,100"
681,Bloomin' Brands,"$4,122.40 ",30%,$215.60 ,-,"$3,294.30 ","$1,966.60 ",33,"82,000"
682,CNO Financial Group,"$4,122.20 ",7.90%,$441 ,46.10%,"$36,204.40 ","$2,945.70 ",-50,"3,350"
683,Snap,"$4,117 ",64.20%,($488),-,"$7,536.30 ","$58,458.40 ",156,"5,661"
684,Zoom Video Communications,"$4,099.90 ",54.60%,"$1,375.60 ",104.60%,"$7,551.30 ","$35,066.30 ",126,"6,787"
685,Patrick Industries,"$4,078.10 ",64%,$224.90 ,131.70%,"$2,650.70 ","$1,408.20 ",159,"11,000"
686,Paychex,"$4,056.80 ",0.40%,"$1,097.50 ",-0.10%,"$9,227.20 ","$49,268 ",-69,"15,000"
687,Atlas Air Worldwide Holdings,"$4,030.80 ",25.50%,$493.30 ,36.90%,"$6,443.20 ","$2,523.40 ",21,"4,056"
688,Bright Health Group,"$4,029.40 ",233.70%,"($1,184.90)",-,"$3,598.30 ","$1,213.50 ",-,"3,203"
689,Peloton Interactive,"$4,021.80 ",120.30%,($189),-,"$4,485.60 ","$8,760.90 ",-,"8,662"
690,Country Financial,"$4,016.20 ",65.30%,$419.20 ,47.40%,"$16,327.20 ",-,164,"3,149"
691,Qorvo,"$4,015.30 ",24%,$733.60 ,119.40%,"$7,221.50 ","$13,456.40 ",14,"8,750"
692,Catalent,"$3,998 ",29.20%,$585 ,165.10%,"$9,112 ","$19,862.70 ",36,"17,300"
693,Mercury General,"$3,993.40 ",5.50%,$247.90 ,-33.80%,"$6,772.50 ","$3,045.40 ",-55,"4,300"
694,AMN Healthcare Services,"$3,984.20 ",66.40%,$327.40 ,363.30%,"$3,131.90 ","$4,796.10 ",168,"3,800"
695,Tri Pointe Homes,"$3,982.20 ",22.10%,$469.30 ,66.30%,"$4,336.20 ","$2,160.10 ",5,"1,390"
696,ArcBest,"$3,980.10 ",35.40%,$213.50 ,200.30%,"$2,112.70 ","$1,979.70 ",59,"14,000"
697,Toro,"$3,959.60 ",17.20%,$409.90 ,24.30%,"$2,936.10 ","$8,936.90 ",-10,"10,982"
698,Spirit AeroSystems Holdings,"$3,953 ",16.10%,($540.80),-,"$7,737.30 ","$5,130.60 ",-14,"16,100"
699,Align Technology,"$3,952.60 ",59.90%,$772 ,-56.50%,"$5,942.10 ","$34,354.80 ",151,"22,540"
700,loanDepot,"$3,943.20 ",-11.30%,$113.50 ,-94.40%,"$11,812.30 ","$1,290.30 ",-117,"11,307"
701,APi Group,"$3,940 ",9.80%,$47 ,-,"$5,159 ","$4,891.10 ",-45,"13,300"
702,American Water Works,"$3,930 ",4.10%,"$1,263 ",78.10%,"$26,075 ","$30,085.50 ",-62,"6,400"
703,Matson,"$3,925.30 ",64.70%,$927.40 ,380.30%,"$3,693.10 ","$4,927.50 ",163,"4,259"
704,Diebold Nixdorf,"$3,905.20 ",0.10%,($78.80),-,"$3,507.20 ",$531.20 ,-76,"22,000"
705,Marriott Vacations Worldwide,"$3,890 ",34.80%,$49 ,-,"$9,613 ","$6,620 ",64,"20,300"
706,Terex,"$3,886.80 ",26.10%,$220.90 ,-,"$2,863.50 ","$2,485.50 ",29,"8,600"
707,Sally Beauty Holdings,"$3,875 ",10.30%,$239.90 ,111.80%,"$2,847.10 ","$1,720.50 ",-39,"29,000"
708,Enovis,"$3,854.30 ",25.50%,$71.70 ,68.10%,"$8,515.30 ","$6,419.30 ",29,"16,200"
709,IAC/InterActiveCorp,"$3,845.10 ",26.20%,$597.50 ,121.50%,"$12,300.30 ","$9,001.40 ",31,"13,200"
710,Meritor,"$3,833 ",25.90%,$199 ,-18.80%,"$2,938 ","$2,519.40 ",32,"9,600"
711,Ventas,"$3,828 ",0.90%,$49 ,-88.80%,"$24,717.80 ","$24,676.20 ",-77,434
712,GoDaddy,"$3,815.70 ",15%,$242.30 ,-,"$7,417.10 ","$14,018.70 ",-15,"6,611"
713,Regal Rexnord,"$3,810.30 ",31.10%,$209.90 ,10.90%,"$10,281.60 ","$10,002.10 ",50,"30,000"
714,Puget Energy,"$3,805.70 ",14.40%,$260.80 ,42.80%,"$15,871.90 ",-,-19,"3,185"
715,Clean Harbors,"$3,805.60 ",21%,$203.20 ,50.70%,"$5,653.70 ","$6,073.80 ",6,"18,300"
716,Pinnacle West Capital,"$3,803.80 ",6%,$618.70 ,12.40%,"$22,003.20 ","$8,820 ",-59,"5,872"
717,eXp World Holdings,"$3,771.20 ",109.70%,$81.20 ,160.90%,$413.80 ,"$3,149.30 ",-,"1,669"
718,Mueller Industries,"$3,769.30 ",57.20%,$468.50 ,235.90%,"$1,728.90 ","$3,100.40 ",143,"5,337"
719,Wynn Resorts,"$3,763.70 ",79.60%,($755.80),-,"$12,530.80 ","$9,243.30 ",221,"26,950"
720,RH,"$3,758.80 ",32%,$688.50 ,153.30%,"$5,540.50 ","$7,079 ",57,"6,100"
721,EPAM Systems,"$3,758.10 ",41.30%,$481.70 ,47.20%,"$3,523.20 ","$16,870.70 ",87,"58,824"
722,M/I Homes,"$3,745.90 ",23%,$396.90 ,65.40%,"$3,239.90 ","$1,262.20 ",19,"1,657"
723,Generac Holdings,"$3,737.20 ",50.40%,$550.50 ,57%,"$4,877.80 ","$18,960.30 ",122,"9,248"
724,Mettler-Toledo International,"$3,717.90 ",20.50%,$769 ,27.60%,"$3,326.80 ","$31,220.30 ",10,"16,700"
725,Abercrombie & Fitch,"$3,712.80 ",18.80%,$263 ,-,"$2,939.50 ","$1,619.50 ",-1,"19,250"
726,Teradyne,"$3,702.90 ",18.60%,"$1,014.60 ",29.40%,"$3,809.40 ","$19,202.60 ",-,"5,900"
727,American Equity Investment Life Holding,"$3,689.50 ",52.20%,$474 ,-29.40%,"$78,349.10 ","$3,869.20 ",130,850
728,Southwest Gas Holdings,"$3,680.50 ",11.60%,$200.80 ,-13.60%,"$12,765.30 ","$5,233.60 ",-30,"12,720"
729,Pitney Bowes,"$3,673.60 ",3.40%,($1.40),-,"$4,958.90 ",$900.10 ,-65,"11,500"
730,Lamb Weston Holdings,"$3,670.90 ",-3.20%,$317.80 ,-13.10%,"$4,209.40 ","$8,699.10 ",-95,"7,800"
731,Alliant Energy,"$3,669 ",7.40%,$659 ,7.30%,"$18,553 ","$15,670.60 ",-51,"3,313"
732,Resolute Forest Products,"$3,664 ",30.90%,$307 ,2970%,"$3,538 ",$991.70 ,51,"6,900"
733,Parsons,"$3,660.80 ",-6.60%,$64.10 ,-35%,"$3,830.90 ","$4,012 ",-108,"15,500"
734,Trimble,"$3,659.10 ",16.20%,$492.70 ,26.40%,"$7,099.60 ","$18,122.70 ",-14,"11,931"
735,OGE Energy,"$3,653.70 ",72.20%,$737.30 ,-,"$12,606.40 ","$8,164.20 ",198,"2,185"
736,Garrett Motion,"$3,633 ",19.70%,-,-,"$2,706 ",$463.90 ,7,"7,600"
737,Winnebago Industries,"$3,629.80 ",54.10%,$281.90 ,358.80%,"$2,062.60 ","$1,770.90 ",140,"6,532"
738,Ciena,"$3,620.70 ",2.50%,$500.20 ,38.40%,"$4,865.20 ","$9,223.40 ",-72,"7,205"
739,PriceSmart,"$3,619.90 ",8.70%,$98 ,25.40%,"$1,705.80 ","$2,434.10 ",-45,"10,400"
740,Advantage Solutions,"$3,602.30 ",14.20%,$54.50 ,-,"$5,854.30 ","$2,029.60 ",-22,"45,000"
741,H&R Block,"$3,588.60 ",35.90%,$683.90 ,-,"$4,014.40 ","$4,284.60 ",70,"38,000"
742,iHeartMedia,"$3,558.30 ",20.70%,($159.20),-,"$8,881.30 ","$2,728.10 ",11,"9,990"
743,Super Micro Computer,"$3,557.40 ",6.50%,$111.90 ,32.70%,"$2,242 ","$1,963 ",-50,"4,155"
744,Flowserve,"$3,541.10 ",-5%,$125.90 ,-3.40%,"$4,749.80 ","$4,681.40 ",-101,"16,000"
745,Charles River Laboratories International,"$3,540.20 ",21.10%,$391 ,7.30%,"$7,024.30 ","$14,425.40 ",15,"19,300"
746,A.O. Smith,"$3,538.90 ",22.20%,$487.10 ,41.20%,"$3,474.40 ","$10,032.20 ",21,"13,700"
747,New Residential Investment,"$3,533.10 ",512.80%,$772.20 ,-,"$39,742.20 ","$5,125 ",-,"12,296"
748,Medical Mutual of Ohio,"$3,514.80 ",-0.30%,$78.30 ,-22%,"$2,646.40 ",-,-81,"2,834"
749,Granite Construction,"$3,501.90 ",-1.70%,$10.10 ,-,"$2,494.90 ","$1,504.70 ",-86,"2,600"
750,Valmont Industries,"$3,501.60 ",20.90%,$195.60 ,39%,"$3,447.20 ","$5,083.40 ",16,"11,041"
751,Sprague Resources,"$3,498.20 ",49.80%,($68.90),-303.80%,"$1,418.30 ",$433.70 ,135,757
752,Primoris Services,"$3,497.60 ",0.20%,$115.60 ,10.10%,"$2,543.30 ","$1,269.80 ",-79,"10,810"
753,Cboe Global Markets,"$3,494.80 ",2%,$529 ,13%,"$6,814.50 ","$12,148.20 ",-74,"1,196"
754,Carter's,"$3,486.40 ",15.30%,$339.70 ,209.70%,"$3,201.80 ","$3,763.40 ",-9,"15,900"
755,TopBuild,"$3,486.20 ",28.30%,$324 ,31.20%,"$4,258.50 ","$5,987.10 ",40,"13,006"
756,SiteOne Landscape Supply,"$3,475.70 ",28.50%,$238.40 ,96.50%,"$2,116.10 ","$7,255.50 ",46,"5,475"
757,Texas Roadhouse,"$3,463.90 ",44.40%,$245.30 ,684.80%,"$2,512 ","$5,787.80 ",103,"73,300"
758,Akamai Technologies,"$3,461.20 ",8.20%,$651.60 ,17%,"$8,138.70 ","$19,210 ",-47,"8,700"
759,Acuity Brands,"$3,461 ",4%,$306.30 ,23.40%,"$3,575.10 ","$6,628.90 ",-63,"13,000"
759,Brown-Forman,"$3,461 ",2.90%,$903 ,9.20%,"$6,522 ","$31,376.60 ",-70,"4,700"
761,Navient,"$3,454 ",-7.30%,$717 ,74%,"$80,605 ","$2,592.30 ",-117,"5,263"
762,Coterra Energy,"$3,449 ",135.20%,"$1,158 ",477.50%,"$19,900 ","$21,872.10 ",-,936
763,Option Care Health,"$3,438.60 ",13.40%,$139.90 ,-,"$2,790.90 ","$5,139 ",-19,"6,334"
764,Floor & Decor Holdings,"$3,433.50 ",41.50%,$283.20 ,45.30%,"$3,730.70 ","$8,573.80 ",92,"9,276"
765,Public Storage,"$3,415.80 ",17.20%,"$1,953.30 ",43.90%,"$17,380.90 ","$68,438.20 ",-3,"5,800"
766,Cabot,"$3,409 ",30.40%,$250 ,-,"$3,306 ","$3,871.10 ",47,"4,500"
767,Crane Holdings,"$3,408 ",16%,$435.40 ,140.60%,"$4,486.60 ","$6,158.90 ",-10,"11,000"
768,Atmos Energy,"$3,407.50 ",20.80%,$665.60 ,10.70%,"$19,608.70 ","$16,182.80 ",10,"4,684"
769,Selective Insurance Group,"$3,379.20 ",15.60%,$403.80 ,63.90%,"$10,461.40 ","$5,391.50 ",-8,"2,440"
770,Take-Two Interactive Software,"$3,372.80 ",9.20%,$588.90 ,45.60%,"$6,028.20 ","$17,744.10 ",-40,"6,495"
771,Boyd Gaming,"$3,369.80 ",54.70%,$463.80 ,-,"$6,224.20 ","$7,234 ",145,"15,114"
772,Plexus,"$3,368.90 ",-0.60%,$138.90 ,18.20%,"$2,461.90 ","$2,298.60 ",-87,"19,200"
773,ScanSource,"$3,364.20 ",-6.80%,$10.80 ,-,"$1,671.70 ",$890.80 ,-118,"2,200"
774,Franchise Group,"$3,362.70 ",56.20%,$363.80 ,1351.40%,"$3,913.20 ","$1,669.60 ",150,"11,895"
775,NLV Financial,"$3,350.80 ",30.20%,$392.10 ,102.50%,"$41,942.40 ",-,48,"1,157"
776,CrossAmerica Partners,"$3,350.50 ",87.10%,$21.70 ,-79.80%,"$1,270.10 ",$826.50 ,-,"2,218"
777,Mr. Cooper Group,"$3,344 ",22.40%,"$1,454 ",376.70%,"$14,204 ","$3,369.40 ",15,"8,200"
778,Fortinet,"$3,342.20 ",28.80%,$606.80 ,24.20%,"$5,919.10 ","$54,957.10 ",38,"10,195"
779,Brinker International,"$3,337.80 ",8.40%,$131.60 ,439.30%,"$2,274.90 ","$1,701.90 ",-43,"59,491"
780,Albemarle,"$3,328 ",6.40%,$123.70 ,-67.10%,"$10,974.10 ","$25,899.40 ",-57,"6,000"
781,Peabody Energy,"$3,318.30 ",15.20%,$360.10 ,-,"$4,949.80 ","$3,391.50 ",-9,"4,900"
782,Light & Wonder,"$3,310 ",21.50%,$371 ,-,"$7,883 ","$5,679.70 ",12,"5,600"
783,Evercore,"$3,307.10 ",44.70%,$740.10 ,111.10%,"$3,802.70 ","$4,275.10 ",116,"1,940"
784,Stewart Information Services,"$3,305.80 ",44.50%,$323.20 ,108.70%,"$2,813.40 ","$1,635.10 ",114,"7,300"
785,Central Garden & Pet,"$3,303.70 ",22.60%,$151.70 ,25.70%,"$3,116.70 ","$2,286.50 ",19,"6,750"
786,GMS,"$3,298.80 ",1.80%,$105.60 ,351.50%,"$2,483.90 ","$2,142.10 ",-83,"5,843"
787,H.B. Fuller,"$3,278 ",17.50%,$161.40 ,30.50%,"$4,274.50 ","$3,505.20 ",-1,"6,500"
788,Middleby,"$3,250.80 ",29.30%,$488.50 ,135.70%,"$6,383.60 ","$8,961.10 ",49,"10,624"
789,Renewable Energy Group,"$3,244.10 ",51.80%,$213.80 ,74.10%,"$2,558.90 ","$3,056.20 ",139,"1,196"
790,MSC Industrial Direct,"$3,243.20 ",1.60%,$216.90 ,-13.60%,"$2,462.10 ","$4,758.30 ",-78,"6,472"
791,Vishay Intertechnology,"$3,240.50 ",29.50%,$298 ,142.40%,"$3,543.30 ","$2,840.10 ",49,"22,800"
792,Applied Industrial Technologies,"$3,235.90 ",-0.30%,$144.80 ,502.10%,"$2,271.80 ","$3,947.90 ",-91,"5,947"
793,Lincoln Electric Holdings,"$3,234.20 ",21.80%,$276.50 ,34.10%,"$2,592.30 ","$8,079.10 ",16,"11,000"
794,First Horizon,"$3,234 ",-4.60%,$999 ,18.20%,"$89,092 ","$12,542.90 ",-108,"7,676"
795,Spirit Airlines,"$3,230.80 ",78.50%,($472.60),-,"$8,540 ","$2,375.40 ",-,"9,823"
796,AptarGroup,"$3,227.20 ",10.20%,$244.10 ,14%,"$4,141.40 ","$7,702.90 ",-37,"13,000"
797,Citrix Systems,"$3,217.20 ",-0.60%,$307.50 ,-39%,"$6,975.50 ","$12,704.60 ",-90,"9,700"
798,IDEXX Laboratories,"$3,215.40 ",18.80%,$744.80 ,28%,"$2,437.20 ","$46,089.30 ",2,"10,350"
799,Tetra Tech,"$3,213.50 ",7.30%,$232.80 ,33.90%,"$2,576.60 ","$8,906.70 ",-51,"21,000"
800,Lyft,"$3,208.30 ",35.70%,"($1,009.40)",-,"$4,773.90 ","$13,384.60 ",75,"4,453"
801,Gannett,"$3,208.10 ",-5.80%,($135),-,"$2,828.10 ",$643.90 ,-118,"16,300"
802,ResMed,"$3,196.80 ",8.10%,$474.50 ,-23.70%,"$4,728.10 ","$35,463.30 ",-51,"7,970"
803,Designer Brands,"$3,196.60 ",43%,$154.50 ,-,"$2,014.60 ",$991.40 ,104,"13,500"
804,Graham Holdings,"$3,186 ",10.30%,$352.10 ,17.20%,"$7,425.50 ","$3,000.60 ",-36,"15,048"
805,Vroom,"$3,184.30 ",134.50%,($370.90),-,"$2,366.80 ",$364.70 ,-,"1,807"
806,Worthington Industries,"$3,171.40 ",3.70%,$723.80 ,818.60%,"$3,373.20 ","$2,537.80 ",-68,"9,000"
807,Calumet Specialty Products Partners,"$3,148 ",38.80%,($260.10),-,"$2,127.90 ","$1,070.80 ",96,"1,450"
808,Xilinx,"$3,147.60 ",-0.50%,$646.50 ,-18.40%,"$5,519.20 ",-,-92,"4,890"
809,TransUnion,"$3,145 ",15.80%,"$1,387.10 ",304.20%,"$12,635 ","$19,882.60 ",-13,"10,200"
810,Travel + Leisure,"$3,134 ",45.10%,$308 ,-,"$6,588 ","$4,966.20 ",112,"16,800"
811,Callaway Golf,"$3,133.40 ",97.10%,$322 ,-,"$7,747.80 ","$4,337.10 ",-,"24,800"
812,Dycom Industries,"$3,130.50 ",-2.10%,$48.60 ,41.50%,"$2,118.20 ","$2,821 ",-102,"15,024"
813,Columbia Sportswear,"$3,126.40 ",25%,$354.10 ,227.80%,"$3,067.10 ","$5,840.40 ",28,"8,325"
814,II-VI,"$3,105.90 ",30.50%,$297.60 ,-,"$6,512.70 ","$7,708.20 ",54,"22,961"
815,Change Healthcare,"$3,090.40 ",1470.40%,($112.20),-,"$10,112.60 ","$6,799.30 ",-,"15,000"
816,Grocery Outlet Holding,"$3,079.60 ",-1.80%,$62.30 ,-41.60%,"$2,669.80 ","$3,148 ",-94,875
817,AMC Networks,"$3,077.60 ",9.30%,$250.60 ,4.40%,"$5,748.90 ","$1,721.70 ",-38,"1,883"
818,Hyster-Yale Materials Handling,"$3,075.70 ",9.40%,($173),-566.30%,"$1,970.10 ",$561.20 ,-36,"8,100"
819,ChampionX,"$3,075 ",61.80%,$113.30 ,-,"$3,534.70 ","$4,976.70 ",167,"7,000"
820,Comfort Systems USA,"$3,073.60 ",7.60%,$143.30 ,-4.50%,"$2,209.10 ","$3,200.50 ",-44,"13,200"
821,EQT,"$3,064.70 ",0.20%,"($1,155.80)",-,"$21,607.40 ","$12,955.40 ",-82,693
822,Brown & Brown,"$3,051.40 ",16.80%,$587.10 ,22.20%,"$9,795.40 ","$20,395.70 ",-8,"12,023"
823,LGI Homes,"$3,050.10 ",28.80%,$429.60 ,32.60%,"$2,351.90 ","$2,322.40 ",50,952
824,Hyatt Hotels,"$3,028 ",46.60%,($222),-,"$12,603 ","$10,498.30 ",122,"44,000"
825,Comerica,"$3,024 ",-2.30%,"$1,168 ",146.40%,"$94,616 ","$11,854.40 ",-96,"7,442"
826,Energizer Holdings,"$3,021.50 ",5.60%,$160.90 ,-,"$5,007.50 ","$2,191.70 ",-51,"6,000"
827,Hill-Rom Holdings,"$3,018.70 ",4.80%,$248.50 ,11.40%,"$4,999.10 ",-,-54,"10,000"
828,Rackspace Technology,"$3,009.50 ",11.20%,($218.30),-,"$6,328.70 ","$2,365.60 ",-29,"6,600"
829,Verisk Analytics,"$2,998.60 ",7.70%,$666.20 ,-6.50%,"$7,808.10 ","$34,616.20 ",-41,"9,367"
830,Spectrum Brands Holdings,"$2,998.10 ",-24.40%,$189.60 ,93.90%,"$5,340.40 ","$3,617.60 ",-209,"12,100"
831,Euronet Worldwide,"$2,995.40 ",20.70%,$70.70 ,-,"$4,744.30 ","$6,658.20 ",16,"8,800"
832,TEGNA,"$2,991.10 ",1.80%,$477 ,-1.20%,"$6,917.60 ","$4,962.60 ",-76,"6,200"
833,Vontier,"$2,990.70 ",10.60%,$413 ,20.80%,"$4,349.80 ","$4,087.80 ",-32,"8,500"
834,Cadence Design Systems,"$2,988.20 ",11.40%,$696 ,17.80%,"$4,386.30 ","$45,781.70 ",-29,"9,298"
835,Incyte,"$2,986.30 ",12%,$948.60 ,-,"$4,933.40 ","$17,577.60 ",-28,"2,094"
836,Match Group,"$2,983.30 ",24.80%,$277.70 ,116%,"$5,063.30 ","$31,007 ",28,"2,520"
837,Valvoline,"$2,981 ",26.70%,$420 ,32.50%,"$3,191 ","$5,660.50 ",43,"9,800"
838,EnerSys,"$2,977.90 ",-3.60%,$143.40 ,4.60%,"$3,462.80 ","$3,076 ",-107,"11,400"
839,Avaya Holdings,"$2,973 ",3.50%,($13),-,"$5,985 ","$1,076 ",-65,"8,063"
840,UWM Holdings,"$2,970.30 ",-39.90%,$98.40 ,-97.10%,"$22,528.40 ","$7,223.50 ",-311,"8,000"
841,Zions Bancorp.,"$2,970 ",1%,"$1,129 ",109.50%,"$93,200 ","$9,958.20 ",-87,"9,685"
842,Quad/Graphics,"$2,960.40 ",-1.60%,$37.80 ,-,"$1,890 ",$388.50 ,-96,"15,100"
843,MKS Instruments,"$2,949.60 ",26.60%,$551.40 ,57.50%,"$4,540.30 ","$8,327.60 ",45,"6,200"
844,Arista Networks,"$2,948 ",27.20%,$840.90 ,32.50%,"$5,734.40 ","$42,773.40 ",45,"2,993"
845,Interactive Brokers Group,"$2,938 ",18.50%,$308 ,57.90%,"$109,113 ","$27,961.70 ",3,"2,571"
846,Range Resources,"$2,930.20 ",48.80%,$411.80 ,-,"$6,660.50 ","$7,964 ",120,527
847,Atkore,"$2,928 ",65.90%,$587.90 ,286%,"$2,210.10 ","$4,415.60 ",-,"3,700"
848,Cheesecake Factory,"$2,927.50 ",47.60%,$72.40 ,-,"$2,798.10 ","$2,098.60 ",111,"45,800"
849,First Solar,"$2,923.40 ",7.80%,$468.70 ,17.70%,"$7,413.70 ","$8,904.40 ",-51,"4,800"
850,Bio-Rad Laboratories,"$2,922.50 ",14.80%,"$4,245.90 ",11.60%,"$17,775.80 ","$16,982.20 ",-21,"7,900"
851,Cooper Cos.,"$2,922.50 ",20.20%,"$2,944.70 ",1135.20%,"$9,606.20 ","$20,587.80 ",2,"12,000"
852,Envista Holdings,"$2,922.40 ",28.10%,$340.50 ,922.50%,"$6,574.20 ","$7,882.50 ",48,"11,200"
853,Alight,"$2,915 ",6.90%,($60),-,"$10,988 ","$5,542.20 ",-,"16,000"
854,Newmark Group,"$2,906.40 ",52.60%,$750.70 ,837.70%,"$5,216.20 ","$3,009.90 ",129,"6,169"
855,PC Connection,"$2,892.60 ",11.70%,$69.90 ,25.40%,"$1,083.40 ","$1,375.80 ",-38,"2,542"
856,Host Hotels & Resorts,"$2,890 ",78.40%,($11),-,"$12,352 ","$13,875.90 ",-,160
857,Boston Properties,"$2,888.60 ",4.40%,$505.20 ,-42.10%,"$22,365.30 ","$20,179.90 ",-67,743
858,Western Midstream Partners,"$2,877.20 ",3.80%,$916.30 ,73.90%,"$11,273.10 ","$10,177.40 ",-69,"1,127"
859,Magellan Midstream Partners,"$2,870.10 ",18.20%,$982 ,20.20%,"$8,030 ","$10,422.10 ",-4,"1,715"
860,Hillenbrand,"$2,864.80 ",13.80%,$249.90 ,-,"$4,014.90 ","$3,216.20 ",-24,"10,500"
861,Donaldson,"$2,853.90 ",10.50%,$286.90 ,11.60%,"$2,400.20 ","$6,416.40 ",-40,"13,100"
862,Moog,"$2,852 ",-1.10%,$157.20 ,1608%,"$3,433.20 ","$2,814.60 ",-91,"14,000"
863,Hawaiian Electric Industries,"$2,850.40 ",10.50%,$246.20 ,24.40%,"$15,822.60 ","$4,630 ",-41,"3,623"
864,Five Below,"$2,848.40 ",45.20%,$278.80 ,126%,"$2,880.50 ","$8,825 ",105,"13,150"
865,Twilio,"$2,841.80 ",61.30%,($949.90),-,"$12,998.60 ","$29,916.90 ",-,"7,867"
866,Univision Communciations,"$2,841 ",11.80%,$133.70 ,-,"$14,055.40 ",-,-36,-
867,Annaly Capital Management,"$2,836.20 ",1188.50%,"$2,389.90 ",-,"$76,764.10 ","$10,281 ",-,171
868,Fleetcor Technologies,"$2,833.70 ",18.60%,$839.50 ,19.20%,"$13,404.70 ","$19,398.40 ",-3,"9,700"
869,West Pharmaceutical Services,"$2,831.60 ",31.90%,$661.80 ,91.20%,"$3,313.80 ","$30,508.20 ",56,"10,065"
870,Green Plains,"$2,827.20 ",47%,($66),-,"$2,159.80 ","$1,662.50 ",107,859
871,Cracker Barrel Old Country Store,"$2,821.40 ",11.80%,$254.50 ,-,"$2,391.70 ","$2,757.60 ",-38,"70,000"
872,Virtu Financial,"$2,811.50 ",-13.20%,$476.90 ,-26.50%,"$10,320 ","$6,622.10 ",-168,973
873,Teleflex,"$2,809.60 ",10.70%,$485.40 ,44.70%,"$6,871.70 ","$16,642.10 ",-41,"14,000"
874,Zynga,"$2,800.50 ",41.80%,($104.20),-,"$6,358.90 ","$10,463.50 ",89,"2,952"
875,ATI,"$2,799.80 ",-6.10%,($38.20),-,"$4,285.20 ","$3,350.80 ",-126,"6,300"
876,AppLovin,"$2,793.10 ",92.50%,$35.40 ,-,"$6,163.60 ","$20,696.80 ",-,"1,594"
877,Waters,"$2,785.90 ",17.80%,$692.80 ,32.80%,"$3,094.90 ","$18,783.40 ",-3,"7,800"
878,Mutual of America Life Insurance,"$2,784.80 ",83.60%,$50.70 ,-,"$28,325.20 ",-,-,"1,146"
879,Hovnanian Enterprises,"$2,782.90 ",18.70%,$607.80 ,1093.50%,"$2,320.50 ",$371.90 ,6,"1,784"
880,Amica Mutual Insurance,"$2,777.90 ",1.80%,$117.10 ,-36.30%,"$6,937.30 ",-,-87,"3,510"
881,Caleres,"$2,777.60 ",31.20%,$137 ,-,"$1,843.90 ",$727.50 ,54,"7,200"
882,FTI Consulting,"$2,776.20 ",12.80%,$235 ,11.50%,"$3,100.90 ","$5,400.10 ",-30,"6,780"
883,Overstock.com,"$2,773.80 ",8.80%,$389.40 ,595.30%,"$1,066 ","$1,897.80 ",-56,"1,350"
884,Visteon,"$2,773 ",8.80%,$41 ,-,"$2,234 ","$3,056.10 ",-56,"10,000"
885,G-III Apparel Group,"$2,766.50 ",34.60%,$200.60 ,752%,"$2,742.50 ","$1,296.10 ",64,"3,250"
886,ITT,"$2,765 ",11.60%,$316.30 ,336.30%,"$3,565.40 ","$6,415.40 ",-37,"9,900"
887,IDEX,"$2,764.80 ",17.60%,$449.40 ,19%,"$4,917.20 ","$14,591.60 ",-6,"7,536"
888,Popular,"$2,764.80 ",6.20%,$934.90 ,84.50%,"$75,097.90 ","$6,252.30 ",-73,"8,351"
889,Roku,"$2,764.60 ",55.50%,$242.40 ,-,"$4,082.10 ","$16,949.30 ",-,"3,000"
890,Schnitzer Steel Industries,"$2,758.60 ",61.10%,$165.10 ,-,"$1,494.40 ","$1,445.20 ",-,"3,167"
891,Brookdale Senior Living,"$2,758.30 ",-22.10%,($99.30),-221.10%,"$6,410.50 ","$1,308.30 ",-226,"28,545"
892,Werner Enterprises,"$2,734.40 ",15.30%,$259.10 ,53.20%,"$2,603.70 ","$2,697.90 ",-21,"13,525"
893,Americold Realty Trust,"$2,714.80 ",36.60%,($30.50),-224.10%,"$8,216.20 ","$7,489.80 ",64,"16,275"
894,SkyWest,"$2,713.50 ",27.60%,$111.90 ,-,"$7,125.90 ","$1,457.60 ",36,"15,205"
895,Primerica,"$2,709.70 ",22.20%,$373.40 ,-3.30%,"$16,123.20 ","$5,326.80 ",14,"3,170"
896,McAfee,"$2,701 ",-7.10%,$849 ,-,"$3,422 ",-,-132,"2,262"
897,Nu Skin Enterprises,"$2,695.70 ",4.40%,$147.30 ,-23%,"$1,906.50 ","$2,385.60 ",-77,"19,600"
898,Copart,"$2,692.50 ",22.10%,$936.50 ,33.80%,"$4,562.10 ","$29,798.80 ",12,"8,600"
899,PROG Holdings,"$2,677.90 ",7.80%,$243.60 ,-,"$1,621.80 ","$1,586.90 ",-53,"2,023"
900,Splunk,"$2,673.70 ",19.90%,"($1,339.10)",-,"$5,790.90 ","$23,881.60 ",8,"7,000"
901,MRC Global,"$2,666 ",4.10%,($14),-,"$1,671 ",$995.20 ,-75,"2,600"
902,Stericycle,"$2,646.90 ",-1.10%,($27.80),-,"$5,473.10 ","$5,415.50 ",-96,"15,465"
903,Maxim Integrated Products,"$2,632.50 ",20.10%,$827.30 ,26.40%,"$4,523.10 ",-,9,"7,100"
904,Ensign Group,"$2,627.50 ",9.40%,$194.70 ,14.20%,"$2,850.60 ","$4,958.30 ",-45,"25,900"
905,SM Energy,"$2,622.90 ",132.80%,$36.20 ,-,"$5,234 ","$4,746.50 ",-,506
